/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.438596,0.011930
Epoch: 0/300, train loss:0.950220, test loss:2.247387, train_acc=1732/2880=0.601389, test_acc=500/1140=0.438596, best_acc=0.438596, train_mae:0.144423, test_mae:0.011930
Epoch: 18/300, train loss:0.518235, test loss:1.378302, train_acc=2207/2880=0.766319, test_acc=620/1140=0.543860, best_acc=0.713158, train_mae:0.012303, test_mae:0.011804
Epoch: 19/300, train loss:0.481503, test loss:3.700707, train_acc=2288/2880=0.794444, test_acc=633/1140=0.555263, best_acc=0.713158, train_mae:0.012288, test_mae:0.011801
model saved, 0.740351,0.011791
Epoch: 20/300, train loss:0.460121, test loss:0.674484, train_acc=2316/2880=0.804167, test_acc=844/1140=0.740351, best_acc=0.740351, train_mae:0.012262, test_mae:0.011791
Epoch: 21/300, train loss:0.441941, test loss:2.917231, train_acc=2370/2880=0.822917, test_acc=621/1140=0.544737, best_acc=0.740351, train_mae:0.012257, test_mae:0.011783
Epoch: 22/300, train loss:0.437965, test loss:2.309077, train_acc=2371/2880=0.823264, test_acc=554/1140=0.485965, best_acc=0.740351, train_mae:0.012263, test_mae:0.011753
Epoch: 23/300, train loss:0.382386, test loss:0.797683, train_acc=2446/2880=0.849306, test_acc=659/1140=0.578070, best_acc=0.740351, train_mae:0.012212, test_mae:0.011929
Epoch: 24/300, train loss:0.442975, test loss:4.364838, train_acc=2356/2880=0.818056, test_acc=640/1140=0.561404, best_acc=0.740351, train_mae:0.012189, test_mae:0.011930
Epoch: 25/300, train loss:0.395158, test loss:1.725084, train_acc=2398/2880=0.832639, test_acc=630/1140=0.552632, best_acc=0.740351, train_mae:0.012157, test_mae:0.011928
Epoch: 26/300, train loss:0.333714, test loss:1.082404, train_acc=2506/2880=0.870139, test_acc=618/1140=0.542105, best_acc=0.740351, train_mae:0.012113, test_mae:0.011684
Epoch: 27/300, train loss:0.398418, test loss:0.628107, train_acc=2386/2880=0.828472, test_acc=810/1140=0.710526, best_acc=0.740351, train_mae:0.012048, test_mae:0.011848
Epoch: 28/300, train loss:0.453611, test loss:3.628235, train_acc=2320/2880=0.805556, test_acc=652/1140=0.571930, best_acc=0.740351, train_mae:0.012018, test_mae:0.011922
Epoch: 29/300, train loss:0.352698, test loss:1.268126, train_acc=2483/2880=0.862153, test_acc=671/1140=0.588596, best_acc=0.740351, train_mae:0.011891, test_mae:0.010234
Epoch: 30/300, train loss:0.302944, test loss:4.855709, train_acc=2552/2880=0.886111, test_acc=534/1140=0.468421, best_acc=0.740351, train_mae:0.011829, test_mae:0.011930
Epoch: 31/300, train loss:0.354642, test loss:0.550668, train_acc=2461/2880=0.854514, test_acc=934/1140=0.819298, best_acc=0.819298, train_mae:0.011580, test_mae:0.011904
Epoch: 32/300, train loss:0.252473, test loss:0.937533, train_acc=2575/2880=0.894097, test_acc=814/1140=0.714035, best_acc=0.819298, train_mae:0.011301, test_mae:0.011824
Epoch: 33/300, train loss:0.242262, test loss:1.885918, train_acc=2611/2880=0.906597, test_acc=667/1140=0.585088, best_acc=0.819298, train_mae:0.010881, test_mae:0.011728
Epoch: 34/300, train loss:0.208330, test loss:0.626343, train_acc=2650/2880=0.920139, test_acc=871/1140=0.764035, best_acc=0.819298, train_mae:0.010281, test_mae:0.010931
Epoch: 35/300, train loss:0.216365, test loss:0.561028, train_acc=2648/2880=0.919444, test_acc=903/1140=0.792105, best_acc=0.819298, train_mae:0.009890, test_mae:0.009592
model saved, 0.826316,0.011047
Epoch: 36/300, train loss:0.229585, test loss:0.474822, train_acc=2630/2880=0.913194, test_acc=942/1140=0.826316, best_acc=0.826316, train_mae:0.009489, test_mae:0.011047
Epoch: 37/300, train loss:0.235761, test loss:4.245827, train_acc=2614/2880=0.907639, test_acc=661/1140=0.579825, best_acc=0.826316, train_mae:0.009383, test_mae:0.011930
Epoch: 38/300, train loss:0.424571, test loss:3.249435, train_acc=2431/2880=0.844097, test_acc=640/1140=0.561404, best_acc=0.826316, train_mae:0.009221, test_mae:0.011917
Epoch: 39/300, train loss:0.343971, test loss:0.831644, train_acc=2501/2880=0.868403, test_acc=642/1140=0.563158, best_acc=0.826316, train_mae:0.009264, test_mae:0.009584
Epoch: 40/300, train loss:0.232760, test loss:1.958225, train_acc=2645/2880=0.918403, test_acc=750/1140=0.657895, best_acc=0.826316, train_mae:0.008802, test_mae:0.010692
Epoch: 41/300, train loss:0.264128, test loss:4.667873, train_acc=2601/2880=0.903125, test_acc=642/1140=0.563158, best_acc=0.826316, train_mae:0.008668, test_mae:0.011682
model saved, 0.905263,0.009301
Epoch: 42/300, train loss:0.225666, test loss:0.235142, train_acc=2643/2880=0.917708, test_acc=1032/1140=0.905263, best_acc=0.905263, train_mae:0.008505, test_mae:0.009301
Epoch: 43/300, train loss:0.186944, test loss:2.651604, train_acc=2676/2880=0.929167, test_acc=688/1140=0.603509, best_acc=0.905263, train_mae:0.008334, test_mae:0.006026
Epoch: 44/300, train loss:0.203428, test loss:5.487746, train_acc=2656/2880=0.922222, test_acc=654/1140=0.573684, best_acc=0.905263, train_mae:0.008116, test_mae:0.005959
Epoch: 45/300, train loss:0.188896, test loss:0.460663, train_acc=2674/2880=0.928472, test_acc=925/1140=0.811404, best_acc=0.905263, train_mae:0.007760, test_mae:0.008067
Epoch: 46/300, train loss:0.150669, test loss:2.341514, train_acc=2728/2880=0.947222, test_acc=661/1140=0.579825, best_acc=0.905263, train_mae:0.007266, test_mae:0.008771
Epoch: 47/300, train loss:0.127567, test loss:1.263927, train_acc=2753/2880=0.955903, test_acc=785/1140=0.688596, best_acc=0.905263, train_mae:0.006993, test_mae:0.005158
Epoch: 48/300, train loss:0.144337, test loss:0.709500, train_acc=2732/2880=0.948611, test_acc=899/1140=0.788596, best_acc=0.905263, train_mae:0.006712, test_mae:0.007323
Epoch: 49/300, train loss:0.118565, test loss:0.567093, train_acc=2758/2880=0.957639, test_acc=938/1140=0.822807, best_acc=0.905263, train_mae:0.006362, test_mae:0.009235
Epoch: 50/300, train loss:0.170422, test loss:10.570021, train_acc=2690/2880=0.934028, test_acc=640/1140=0.561404, best_acc=0.905263, train_mae:0.006288, test_mae:0.003280
Epoch: 51/300, train loss:0.179816, test loss:1.034371, train_acc=2691/2880=0.934375, test_acc=802/1140=0.703509, best_acc=0.905263, train_mae:0.005933, test_mae:0.006539
Epoch: 52/300, train loss:0.167870, test loss:0.302207, train_acc=2700/2880=0.937500, test_acc=997/1140=0.874561, best_acc=0.905263, train_mae:0.005864, test_mae:0.002551
Epoch: 53/300, train loss:0.144278, test loss:2.020900, train_acc=2731/2880=0.948264, test_acc=681/1140=0.597368, best_acc=0.905263, train_mae:0.005323, test_mae:0.002717
Epoch: 54/300, train loss:0.142698, test loss:0.234843, train_acc=2719/2880=0.944097, test_acc=1029/1140=0.902632, best_acc=0.905263, train_mae:0.004944, test_mae:0.004839
Epoch: 55/300, train loss:0.148972, test loss:0.983040, train_acc=2727/2880=0.946875, test_acc=854/1140=0.749123, best_acc=0.905263, train_mae:0.004629, test_mae:0.002422
model saved, 0.940351,0.002355
Epoch: 56/300, train loss:0.126124, test loss:0.162543, train_acc=2747/2880=0.953819, test_acc=1072/1140=0.940351, best_acc=0.940351, train_mae:0.004347, test_mae:0.002355
Epoch: 57/300, train loss:0.118026, test loss:0.820358, train_acc=2762/2880=0.959028, test_acc=866/1140=0.759649, best_acc=0.940351, train_mae:0.004073, test_mae:0.006964
Epoch: 58/300, train loss:0.125468, test loss:6.381171, train_acc=2742/2880=0.952083, test_acc=640/1140=0.561404, best_acc=0.940351, train_mae:0.003910, test_mae:0.011273
Epoch: 59/300, train loss:0.150747, test loss:0.370646, train_acc=2719/2880=0.944097, test_acc=1002/1140=0.878947, best_acc=0.940351, train_mae:0.003745, test_mae:0.002686
Epoch: 60/300, train loss:0.144035, test loss:0.668884, train_acc=2723/2880=0.945486, test_acc=886/1140=0.777193, best_acc=0.940351, train_mae:0.003574, test_mae:0.003414
Epoch: 61/300, train loss:0.136481, test loss:2.605722, train_acc=2734/2880=0.949306, test_acc=665/1140=0.583333, best_acc=0.940351, train_mae:0.003407, test_mae:0.001947
Epoch: 62/300, train loss:0.129090, test loss:0.196330, train_acc=2741/2880=0.951736, test_acc=1050/1140=0.921053, best_acc=0.940351, train_mae:0.003154, test_mae:0.003947
Epoch: 63/300, train loss:0.121490, test loss:0.587120, train_acc=2752/2880=0.955556, test_acc=895/1140=0.785088, best_acc=0.940351, train_mae:0.003089, test_mae:0.007472
Epoch: 64/300, train loss:0.163061, test loss:0.963043, train_acc=2708/2880=0.940278, test_acc=734/1140=0.643860, best_acc=0.940351, train_mae:0.002953, test_mae:0.002333
Epoch: 65/300, train loss:0.174311, test loss:0.189269, train_acc=2674/2880=0.928472, test_acc=1053/1140=0.923684, best_acc=0.940351, train_mae:0.002851, test_mae:0.010098
Epoch: 66/300, train loss:0.219978, test loss:1.193532, train_acc=2638/2880=0.915972, test_acc=786/1140=0.689474, best_acc=0.940351, train_mae:0.002784, test_mae:0.001777
Epoch: 67/300, train loss:0.179871, test loss:0.520194, train_acc=2677/2880=0.929514, test_acc=896/1140=0.785965, best_acc=0.940351, train_mae:0.002720, test_mae:0.004183
Epoch: 68/300, train loss:0.169633, test loss:1.866322, train_acc=2702/2880=0.938194, test_acc=741/1140=0.650000, best_acc=0.940351, train_mae:0.002566, test_mae:0.003310
Epoch: 69/300, train loss:0.148458, test loss:0.313785, train_acc=2718/2880=0.943750, test_acc=1002/1140=0.878947, best_acc=0.940351, train_mae:0.002397, test_mae:0.001961
Epoch: 70/300, train loss:0.111748, test loss:0.439062, train_acc=2766/2880=0.960417, test_acc=972/1140=0.852632, best_acc=0.940351, train_mae:0.002281, test_mae:0.002456
Epoch: 71/300, train loss:0.085796, test loss:0.511786, train_acc=2793/2880=0.969792, test_acc=967/1140=0.848246, best_acc=0.940351, train_mae:0.002301, test_mae:0.001389
Epoch: 72/300, train loss:0.129299, test loss:1.523578, train_acc=2744/2880=0.952778, test_acc=738/1140=0.647368, best_acc=0.940351, train_mae:0.002247, test_mae:0.011061
Epoch: 73/300, train loss:0.116693, test loss:0.173763, train_acc=2752/2880=0.955556, test_acc=1057/1140=0.927193, best_acc=0.940351, train_mae:0.002138, test_mae:0.001724
Epoch: 74/300, train loss:0.092533, test loss:0.167911, train_acc=2778/2880=0.964583, test_acc=1056/1140=0.926316, best_acc=0.940351, train_mae:0.002007, test_mae:0.001481
Epoch: 75/300, train loss:0.102098, test loss:0.197239, train_acc=2781/2880=0.965625, test_acc=1053/1140=0.923684, best_acc=0.940351, train_mae:0.001968, test_mae:0.007698
Epoch: 76/300, train loss:0.089357, test loss:0.442935, train_acc=2795/2880=0.970486, test_acc=983/1140=0.862281, best_acc=0.940351, train_mae:0.001912, test_mae:0.001488
Epoch: 77/300, train loss:0.099696, test loss:0.447956, train_acc=2778/2880=0.964583, test_acc=1005/1140=0.881579, best_acc=0.940351, train_mae:0.001874, test_mae:0.004522
Epoch: 78/300, train loss:0.136991, test loss:0.519763, train_acc=2738/2880=0.950694, test_acc=917/1140=0.804386, best_acc=0.940351, train_mae:0.001831, test_mae:0.001754
Epoch: 79/300, train loss:0.113669, test loss:0.743537, train_acc=2748/2880=0.954167, test_acc=898/1140=0.787719, best_acc=0.940351, train_mae:0.001834, test_mae:0.002701
Epoch: 80/300, train loss:0.094220, test loss:0.453765, train_acc=2777/2880=0.964236, test_acc=977/1140=0.857018, best_acc=0.940351, train_mae:0.001805, test_mae:0.005789
Epoch: 81/300, train loss:0.101680, test loss:0.207931, train_acc=2771/2880=0.962153, test_acc=1044/1140=0.915789, best_acc=0.940351, train_mae:0.001757, test_mae:0.003917
Epoch: 82/300, train loss:0.087489, test loss:0.278348, train_acc=2787/2880=0.967708, test_acc=1012/1140=0.887719, best_acc=0.940351, train_mae:0.001801, test_mae:0.001406
Epoch: 83/300, train loss:0.092759, test loss:1.181816, train_acc=2775/2880=0.963542, test_acc=822/1140=0.721053, best_acc=0.940351, train_mae:0.001747, test_mae:0.004108
Epoch: 84/300, train loss:0.094833, test loss:0.195956, train_acc=2776/2880=0.963889, test_acc=1046/1140=0.917544, best_acc=0.940351, train_mae:0.001750, test_mae:0.001897
Epoch: 85/300, train loss:0.089881, test loss:1.022782, train_acc=2775/2880=0.963542, test_acc=824/1140=0.722807, best_acc=0.940351, train_mae:0.001698, test_mae:0.001494
Epoch: 86/300, train loss:0.078555, test loss:1.642016, train_acc=2795/2880=0.970486, test_acc=749/1140=0.657018, best_acc=0.940351, train_mae:0.001673, test_mae:0.001787
Epoch: 87/300, train loss:0.074498, test loss:0.278214, train_acc=2795/2880=0.970486, test_acc=1027/1140=0.900877, best_acc=0.940351, train_mae:0.001660, test_mae:0.004533
Epoch: 88/300, train loss:0.073913, test loss:1.224250, train_acc=2797/2880=0.971181, test_acc=824/1140=0.722807, best_acc=0.940351, train_mae:0.001633, test_mae:0.001773
Epoch: 89/300, train loss:0.063436, test loss:1.540589, train_acc=2809/2880=0.975347, test_acc=771/1140=0.676316, best_acc=0.940351, train_mae:0.001610, test_mae:0.002295
Epoch: 90/300, train loss:0.074887, test loss:2.318442, train_acc=2798/2880=0.971528, test_acc=657/1140=0.576316, best_acc=0.940351, train_mae:0.001601, test_mae:0.005345
Epoch: 91/300, train loss:0.087201, test loss:0.382743, train_acc=2786/2880=0.967361, test_acc=986/1140=0.864912, best_acc=0.940351, train_mae:0.001600, test_mae:0.002737
Epoch: 92/300, train loss:0.086743, test loss:0.372809, train_acc=2800/2880=0.972222, test_acc=1000/1140=0.877193, best_acc=0.940351, train_mae:0.001604, test_mae:0.002000
Epoch: 93/300, train loss:0.079030, test loss:0.389073, train_acc=2794/2880=0.970139, test_acc=995/1140=0.872807, best_acc=0.940351, train_mae:0.001627, test_mae:0.002455
Epoch: 94/300, train loss:0.086968, test loss:0.311795, train_acc=2799/2880=0.971875, test_acc=1020/1140=0.894737, best_acc=0.940351, train_mae:0.001572, test_mae:0.002444
Epoch: 95/300, train loss:0.083481, test loss:1.918362, train_acc=2793/2880=0.969792, test_acc=722/1140=0.633333, best_acc=0.940351, train_mae:0.001577, test_mae:0.002319
Epoch: 96/300, train loss:0.062718, test loss:0.213433, train_acc=2816/2880=0.977778, test_acc=1053/1140=0.923684, best_acc=0.940351, train_mae:0.001501, test_mae:0.001456
Epoch: 97/300, train loss:0.069828, test loss:0.181019, train_acc=2806/2880=0.974306, test_acc=1059/1140=0.928947, best_acc=0.940351, train_mae:0.001528, test_mae:0.004300
Epoch: 98/300, train loss:0.071313, test loss:0.181457, train_acc=2802/2880=0.972917, test_acc=1064/1140=0.933333, best_acc=0.940351, train_mae:0.001539, test_mae:0.001507
Epoch: 99/300, train loss:0.056650, test loss:0.128012, train_acc=2828/2880=0.981944, test_acc=1080/1140=0.947368, best_acc=0.947368, train_mae:0.001530, test_mae:0.002797
Epoch: 100/300, train loss:0.073309, test loss:0.222638, train_acc=2793/2880=0.969792, test_acc=1048/1140=0.919298, best_acc=0.947368, train_mae:0.001542, test_mae:0.006147
Epoch: 101/300, train loss:0.072871, test loss:0.440033, train_acc=2807/2880=0.974653, test_acc=1000/1140=0.877193, best_acc=0.947368, train_mae:0.001647, test_mae:0.004986
Epoch: 102/300, train loss:0.068698, test loss:0.552040, train_acc=2797/2880=0.971181, test_acc=958/1140=0.840351, best_acc=0.947368, train_mae:0.001722, test_mae:0.001451
Epoch: 103/300, train loss:0.086828, test loss:1.162417, train_acc=2785/2880=0.967014, test_acc=804/1140=0.705263, best_acc=0.947368, train_mae:0.001751, test_mae:0.004662
Epoch: 104/300, train loss:0.104135, test loss:0.830480, train_acc=2774/2880=0.963194, test_acc=862/1140=0.756140, best_acc=0.947368, train_mae:0.001666, test_mae:0.001287
Epoch: 105/300, train loss:0.076085, test loss:0.134109, train_acc=2794/2880=0.970139, test_acc=1079/1140=0.946491, best_acc=0.947368, train_mae:0.001676, test_mae:0.001987
Epoch: 106/300, train loss:0.065745, test loss:0.136664, train_acc=2810/2880=0.975694, test_acc=1085/1140=0.951754, best_acc=0.951754, train_mae:0.001602, test_mae:0.003260
Epoch: 107/300, train loss:0.075110, test loss:1.279799, train_acc=2800/2880=0.972222, test_acc=782/1140=0.685965, best_acc=0.951754, train_mae:0.001675, test_mae:0.001399
Epoch: 108/300, train loss:0.086271, test loss:1.112845, train_acc=2784/2880=0.966667, test_acc=825/1140=0.723684, best_acc=0.951754, train_mae:0.001508, test_mae:0.002416
Epoch: 109/300, train loss:0.077550, test loss:0.182566, train_acc=2799/2880=0.971875, test_acc=1060/1140=0.929825, best_acc=0.951754, train_mae:0.001515, test_mae:0.004528
Epoch: 110/300, train loss:0.061886, test loss:0.568200, train_acc=2817/2880=0.978125, test_acc=938/1140=0.822807, best_acc=0.951754, train_mae:0.001627, test_mae:0.004438
Epoch: 111/300, train loss:0.074224, test loss:0.317158, train_acc=2804/2880=0.973611, test_acc=1006/1140=0.882456, best_acc=0.951754, train_mae:0.001597, test_mae:0.002635
Epoch: 112/300, train loss:0.063620, test loss:0.170074, train_acc=2815/2880=0.977431, test_acc=1065/1140=0.934211, best_acc=0.951754, train_mae:0.001507, test_mae:0.001508
Epoch: 113/300, train loss:0.059077, test loss:0.594189, train_acc=2818/2880=0.978472, test_acc=957/1140=0.839474, best_acc=0.951754, train_mae:0.001474, test_mae:0.001992
Epoch: 114/300, train loss:0.064043, test loss:0.144445, train_acc=2814/2880=0.977083, test_acc=1082/1140=0.949123, best_acc=0.951754, train_mae:0.001485, test_mae:0.002764
Epoch: 115/300, train loss:0.060721, test loss:0.601581, train_acc=2811/2880=0.976042, test_acc=929/1140=0.814912, best_acc=0.951754, train_mae:0.001496, test_mae:0.001536
Epoch: 116/300, train loss:0.048794, test loss:0.774349, train_acc=2820/2880=0.979167, test_acc=900/1140=0.789474, best_acc=0.951754, train_mae:0.001465, test_mae:0.002168
Epoch: 117/300, train loss:0.080248, test loss:2.350647, train_acc=2794/2880=0.970139, test_acc=699/1140=0.613158, best_acc=0.951754, train_mae:0.001458, test_mae:0.003025
Epoch: 118/300, train loss:0.073716, test loss:0.166005, train_acc=2797/2880=0.971181, test_acc=1066/1140=0.935088, best_acc=0.951754, train_mae:0.001503, test_mae:0.002704
Epoch: 119/300, train loss:0.063238, test loss:0.156834, train_acc=2811/2880=0.976042, test_acc=1069/1140=0.937719, best_acc=0.951754, train_mae:0.001496, test_mae:0.001490
Epoch: 120/300, train loss:0.048926, test loss:0.730667, train_acc=2828/2880=0.981944, test_acc=890/1140=0.780702, best_acc=0.951754, train_mae:0.001499, test_mae:0.002903
Epoch: 121/300, train loss:0.060828, test loss:0.161693, train_acc=2812/2880=0.976389, test_acc=1067/1140=0.935965, best_acc=0.951754, train_mae:0.001506, test_mae:0.001387
Epoch: 122/300, train loss:0.039737, test loss:0.556588, train_acc=2840/2880=0.986111, test_acc=950/1140=0.833333, best_acc=0.951754, train_mae:0.001502, test_mae:0.001596
Epoch: 123/300, train loss:0.046988, test loss:0.498898, train_acc=2834/2880=0.984028, test_acc=963/1140=0.844737, best_acc=0.951754, train_mae:0.001442, test_mae:0.001985
Epoch: 124/300, train loss:0.055352, test loss:0.446521, train_acc=2827/2880=0.981597, test_acc=976/1140=0.856140, best_acc=0.951754, train_mae:0.001470, test_mae:0.001515
Epoch: 125/300, train loss:0.055079, test loss:0.154124, train_acc=2819/2880=0.978819, test_acc=1075/1140=0.942982, best_acc=0.951754, train_mae:0.001438, test_mae:0.003589
Epoch: 126/300, train loss:0.073898, test loss:1.052486, train_acc=2807/2880=0.974653, test_acc=848/1140=0.743860, best_acc=0.951754, train_mae:0.001470, test_mae:0.001471
Epoch: 127/300, train loss:0.063965, test loss:0.726287, train_acc=2817/2880=0.978125, test_acc=876/1140=0.768421, best_acc=0.951754, train_mae:0.001441, test_mae:0.002934
Epoch: 128/300, train loss:0.059482, test loss:0.207964, train_acc=2816/2880=0.977778, test_acc=1055/1140=0.925439, best_acc=0.951754, train_mae:0.001435, test_mae:0.002040
Epoch: 129/300, train loss:0.062737, test loss:0.261156, train_acc=2817/2880=0.978125, test_acc=1030/1140=0.903509, best_acc=0.951754, train_mae:0.001423, test_mae:0.006261
Epoch: 130/300, train loss:0.057114, test loss:0.187401, train_acc=2816/2880=0.977778, test_acc=1063/1140=0.932456, best_acc=0.951754, train_mae:0.001534, test_mae:0.001459
Epoch: 131/300, train loss:0.062136, test loss:0.169476, train_acc=2818/2880=0.978472, test_acc=1071/1140=0.939474, best_acc=0.951754, train_mae:0.001487, test_mae:0.004642
Epoch: 132/300, train loss:0.052831, test loss:1.858204, train_acc=2827/2880=0.981597, test_acc=795/1140=0.697368, best_acc=0.951754, train_mae:0.001481, test_mae:0.001648
Epoch: 133/300, train loss:0.085718, test loss:0.336527, train_acc=2804/2880=0.973611, test_acc=1002/1140=0.878947, best_acc=0.951754, train_mae:0.001441, test_mae:0.001724
Epoch: 134/300, train loss:0.069809, test loss:3.650644, train_acc=2809/2880=0.975347, test_acc=674/1140=0.591228, best_acc=0.951754, train_mae:0.001444, test_mae:0.004785
Epoch: 135/300, train loss:0.076749, test loss:0.146662, train_acc=2798/2880=0.971528, test_acc=1069/1140=0.937719, best_acc=0.951754, train_mae:0.001466, test_mae:0.001995
Epoch: 136/300, train loss:0.066685, test loss:1.189876, train_acc=2814/2880=0.977083, test_acc=838/1140=0.735088, best_acc=0.951754, train_mae:0.001476, test_mae:0.003371
Epoch: 137/300, train loss:0.062470, test loss:0.843530, train_acc=2805/2880=0.973958, test_acc=863/1140=0.757018, best_acc=0.951754, train_mae:0.001463, test_mae:0.006222
Epoch: 138/300, train loss:0.048009, test loss:0.216291, train_acc=2825/2880=0.980903, test_acc=1055/1140=0.925439, best_acc=0.951754, train_mae:0.001510, test_mae:0.001376
model saved, 0.962281,0.001451
Epoch: 139/300, train loss:0.057524, test loss:0.097669, train_acc=2814/2880=0.977083, test_acc=1097/1140=0.962281, best_acc=0.962281, train_mae:0.001449, test_mae:0.001451
Epoch: 140/300, train loss:0.061286, test loss:0.194560, train_acc=2816/2880=0.977778, test_acc=1052/1140=0.922807, best_acc=0.962281, train_mae:0.001426, test_mae:0.002062
Epoch: 141/300, train loss:0.059596, test loss:1.917785, train_acc=2816/2880=0.977778, test_acc=726/1140=0.636842, best_acc=0.962281, train_mae:0.001459, test_mae:0.005484
Epoch: 142/300, train loss:0.114749, test loss:0.691071, train_acc=2761/2880=0.958681, test_acc=942/1140=0.826316, best_acc=0.962281, train_mae:0.001598, test_mae:0.002804
Epoch: 143/300, train loss:0.095687, test loss:1.114994, train_acc=2781/2880=0.965625, test_acc=773/1140=0.678070, best_acc=0.962281, train_mae:0.001479, test_mae:0.003509
Epoch: 144/300, train loss:0.074297, test loss:0.257843, train_acc=2791/2880=0.969097, test_acc=1030/1140=0.903509, best_acc=0.962281, train_mae:0.001462, test_mae:0.004570
Epoch: 145/300, train loss:0.061756, test loss:1.862274, train_acc=2820/2880=0.979167, test_acc=708/1140=0.621053, best_acc=0.962281, train_mae:0.001523, test_mae:0.001302
Epoch: 146/300, train loss:0.083311, test loss:0.872218, train_acc=2789/2880=0.968403, test_acc=866/1140=0.759649, best_acc=0.962281, train_mae:0.001523, test_mae:0.001901
Epoch: 147/300, train loss:0.099170, test loss:1.340049, train_acc=2779/2880=0.964931, test_acc=767/1140=0.672807, best_acc=0.962281, train_mae:0.001496, test_mae:0.001554
Epoch: 148/300, train loss:0.090698, test loss:0.384866, train_acc=2781/2880=0.965625, test_acc=969/1140=0.850000, best_acc=0.962281, train_mae:0.001567, test_mae:0.001354
Epoch: 149/300, train loss:0.068291, test loss:0.426482, train_acc=2814/2880=0.977083, test_acc=987/1140=0.865789, best_acc=0.962281, train_mae:0.001674, test_mae:0.001549
Epoch: 150/300, train loss:0.067810, test loss:0.150459, train_acc=2809/2880=0.975347, test_acc=1080/1140=0.947368, best_acc=0.962281, train_mae:0.001632, test_mae:0.003248
Epoch: 151/300, train loss:0.080770, test loss:0.119800, train_acc=2791/2880=0.969097, test_acc=1085/1140=0.951754, best_acc=0.962281, train_mae:0.001489, test_mae:0.002319
